         MJD         m       dm       uJy   duJy F  err    chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  uJy_offset      duJy_new
57523.381095 18.738855      NaN      24.0     29 o    0     1.08 210.91067 54.31166  4375.05  9194.57 3.84 3.59 -75.7 -0.464    18.84 20.19 02a57523o0271o   0x0000          -5     30.978304
57523.387699 18.826541      NaN       6.0     32 o    0     1.00 210.91067 54.31166  4399.55  9079.78 3.94 3.65 -75.4 -0.455    18.81 20.18 02a57523o0284o   0x0000          -5     33.803185
57523.409491 18.748255      NaN      20.0     30 o    0     1.15 210.91067 54.31166  4356.70  9140.03 3.83 3.53 -77.7 -0.473    18.80 20.13 02a57523o0325o   0x0000          -5     31.916380
57527.358027 18.382935      NaN      27.0     43 o    0     1.00 210.91067 54.31166  2663.16  9386.86 4.15 3.76 -55.2 -0.471    18.46 19.51 02a57527o0104o  0x80000          -5     44.358261
57527.369297 18.452558      NaN      11.0     45 o    0     1.10 210.91067 54.31166  2648.84  9351.26 4.31 3.88 -46.6 -0.459    18.41 19.50 02a57527o0126o   0x0000          -5     46.299626
57527.371716 18.598565      NaN     -14.0     44 o    0     1.03 210.91067 54.31166  2707.52  9430.33 4.06 3.66 -56.9 -0.480    18.46 19.48 02a57527o0131o  0x80000          -5     45.328306
57527.394983 18.382935      NaN      24.0     44 o    0     1.20 210.91067 54.31166  2728.64  9315.26 4.33 3.86 -63.3 -0.461    18.38 19.45 02a57527o0177o  0x80000          -5     45.328306
57527.405379 18.232071      NaN      33.0     49 o    0     0.83 210.91067 54.31166  2698.00  9374.70 4.33 3.86 -61.2 -0.456    18.37 19.43 02a57527o0198o  0x80000          -5     50.196168
57535.336981 15.117622      NaN    1432.0    607 o    0     0.93 210.91067 54.31166  2452.61  8207.12 3.91 3.44 -66.3 -0.480    15.47 16.84 02a57535o0225o 0x400802          -5    607.097731
57535.346198 17.063000      NaN     118.0    140 o    0     0.73 210.91067 54.31166  2440.93  8166.18 3.83 3.37 -66.1 -0.484    17.61 19.09 02a57535o0244o  0x80000          -5    140.423130
57535.363162 17.692816      NaN      71.0     76 o    0     0.70 210.91067 54.31166  2500.39  8241.43 3.85 3.45 -67.2 -0.476    18.26 19.82 02a57535o0278o 0x400600          -5     76.776659
57535.369944 18.910912      NaN     -19.0     33 o    0     0.95 210.91067 54.31166  2514.44  8124.52 3.84 3.44 -65.9 -0.459    18.86 20.44 02a57535o0292o  0x80000          -5     34.751336
57535.380630 18.878500      NaN      25.0     24 o    0     1.26 210.91067 54.31166  2480.09  8191.34 3.84 3.47 -62.5 -0.454    19.07 20.70 02a57535o0313o  0x80000          -5     26.356315
57568.311481 19.169763      NaN     -25.0     26 o    0     1.10 210.91067 54.31166  2677.77  7882.27 3.89 3.50 -65.9 -0.471    19.04 20.65 02a57568o0155o   0x0000          -5     28.189632
57568.321807 19.169763      NaN     -28.0     26 o    0     0.95 210.91067 54.31166  2666.01  7840.07 3.77 3.41 -65.7 -0.475    19.08 20.69 02a57568o0176o   0x0000          -5     28.189632
57568.337986 18.362890      NaN      69.0     30 o    0     0.96 210.91067 54.31166  2721.92  7914.44 3.85 3.46 -62.6 -0.470    19.09 20.74 02a57568o0209o  0x80000          -5     31.916380
57568.343307 18.955691      NaN      15.0     25 o    0     1.08 210.91067 54.31166  2733.53  7796.45 3.78 3.38 -67.0 -0.460    19.12 20.79 02a57568o0220o   0x0000          -5     27.270044
57568.356106 19.256669      NaN     -14.0     24 o    0     1.00 210.91067 54.31166  2700.43  7856.23 3.76 3.39 -64.4 -0.463    19.13 20.81 02a57568o0246o   0x0000          -5     26.356315
57589.280444 18.191747      NaN     -31.0     64 o    0     0.97 210.91067 54.31166  2879.87  9838.03 3.78 3.57 -43.7 -0.496    18.28 19.15 02a57589o0116o   0x0000          -5     64.920377
57589.288075 21.202047      NaN     -39.0      4 o    0 60900.90 210.91067 54.31166  1696.07    31.95 5.07 3.13  -8.4 -0.495    18.20 19.05 02a57589o0131o 0x400801          -5     11.604108
57589.293601 18.063866      NaN     -32.0     72 o    0     0.96 210.91067 54.31166  2855.75  9798.17 3.80 3.56 -47.9 -0.507    18.19 19.03 02a57589o0142o   0x0000          -5     72.819333
57598.263361 19.089302      NaN       1.0     26 o    0     1.19 210.91067 54.31166  3935.92  8874.86 4.11 3.89 -68.6 -0.436    19.08 20.79 02a57598o0056o  0x80000          -5     28.189632
57598.273753 19.212347      NaN     -12.0     25 o    0     1.12 210.91067 54.31166  3911.83  8835.18 4.32 3.97 -67.5 -0.422    19.06 20.87 02a57598o0077o  0x80000          -5     27.270044
