         MJD         m       dm      uJy  duJy F  err   chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  uJy_offset    duJy_new
57545.358980 19.318728      NaN     17.0    17 c    0    1.02 210.91067 54.31166 10365.66  8277.61 4.64 3.65  81.3 -0.435    19.64 21.79 02a57545o0251c  0x80000           0   18.982696
57545.361400 19.401649      NaN    -34.0    21 c    0    1.77 210.91067 54.31166  1179.45  8072.44 4.39 3.92 -58.1 -0.425    19.56 21.74 02a57545o0256c  0x80000           0   22.634989
57545.371093 19.454622      NaN    -26.0    20 c    0    1.18 210.91067 54.31166  1146.80  8133.12 4.36 3.89 -56.8 -0.427    19.46 21.59 02a57545o0276c   0x0000           0   21.710429
57545.380784 19.256669      NaN      6.0    22 c    0    1.09 210.91067 54.31166 10378.33  8164.94 4.68 3.68  80.3 -0.420    19.41 21.51 02a57545o0296c  0x80000           0   23.565711
57545.390661 19.510313      NaN    -14.0    19 c    0    1.11 210.91067 54.31166 10340.77  8224.77 4.89 3.82  79.3 -0.420    19.52 21.66 02a57545o0315c  0x80000           0   20.792853
57549.332077 19.401649      NaN    -22.0    21 c    0    1.05 210.91067 54.31166  2409.07  9676.63 4.08 3.84 -55.2 -0.424    19.44 21.31 02a57549o0078c   0x0000           0   22.634989
57549.342782 19.318728      NaN      2.0    22 c    0    0.95 210.91067 54.31166  2398.91  9636.85 4.17 3.87 -53.8 -0.416    19.44 21.33 02a57549o0100c   0x0000           0   23.565711
57549.359807 19.454622      NaN    -12.0    20 c    0    1.06 210.91067 54.31166  2455.26  9712.25 4.12 3.83 -48.4 -0.420    19.46 21.36 02a57549o0135c   0x0000           0   21.710429
57549.367069 18.526952      NaN     45.0    32 c    0    0.64 210.91067 54.31166  2467.91  9595.45 4.12 3.84 -53.7 -0.424    19.47 21.39 02a57549o0150c 0x400200           0   33.095963
57549.375839 19.271854      NaN     14.0    19 c    0    1.26 210.91067 54.31166  2436.46  9659.17 4.25 3.90 -49.3 -0.416    19.49 21.47 02a57549o0168c   0x0000           0   20.792853
57581.293250 19.212347      NaN    -16.0    25 c    0    1.07 210.91067 54.31166  3739.38  6913.57 4.17 3.83 -76.9 -0.443    19.01 20.64 02a57581o0088c   0x0000           0   26.388307
57581.304631 19.128787      NaN    -10.0    27 c    0    1.04 210.91067 54.31166  3726.78  6872.21 4.12 3.85 -62.0 -0.443    19.01 20.65 02a57581o0111c   0x0000           0   28.290329
57581.321240 19.169763      NaN    -14.0    26 c    0    1.06 210.91067 54.31166  3782.20  6946.71 3.97 3.69 -62.7 -0.451    19.00 20.58 02a57581o0145c   0x0000           0   27.337570
57581.328019 18.511660      NaN     59.0    28 c    0    1.12 210.91067 54.31166  3794.57  6829.33 3.92 3.63 -72.1 -0.454    19.00 20.57 02a57581o0159c   0x0000           0   29.246243
57581.338880 19.256669      NaN     -1.0    24 c    0    1.52 210.91067 54.31166  3761.82  6888.31 3.99 3.68 -65.9 -0.453    18.93 20.48 02a57581o0181c   0x0000           0   25.442931
57605.257770 18.786693      NaN    -28.0    37 c    0    1.40 210.91067 54.31166  4002.70  6988.31 4.26 3.91  41.5 -0.371    18.85 21.71 02a57605o0052c 0x400400           0   37.951848
57605.266058 18.343209      NaN     50.0    39 c    0    1.04 210.91067 54.31166  3979.77  6947.74 4.44 4.23  41.9 -0.398    18.84 21.70 02a57605o0066c  0x80000           0   39.904169
57605.277177 18.675237      NaN   -145.0    41 c    0    1.03 210.91067 54.31166  4035.98  7021.20 5.25 5.14  64.7 -0.324    18.70 21.72 02a57605o0085c 0x400500           0   41.860993
57605.290850 19.155932      NaN      7.0    24 c    0    0.98 210.91067 54.31166  4059.65  6905.12 4.92 4.71 -64.5 -0.355    19.19 21.41 02a57605o0109c  0x80000           0   25.442931
57605.303123 19.155932      NaN     19.0    20 c    0    0.84 210.91067 54.31166  4014.34  6960.95 4.12 3.93 -60.0 -0.388    19.35 21.41 02a57605o0133c  0x80000           0   21.710429
57609.251150 18.910912      NaN     18.0    27 c    0    1.08 210.91067 54.31166  1296.91 10121.86 4.18 3.78 -54.7 -0.424    19.04 20.57 02a57609o0045c   0x0000           0   28.290329
57609.257024 15.661082      NaN    325.0   550 c    0    0.02 210.91067 54.31166 10521.67 10244.68 4.94 3.91  81.8 -0.425    19.23 20.92 02a57609o0055c  0x80002           0  550.064853
57609.260345 18.786693      NaN     27.0    28 c    0    0.91 210.91067 54.31166  1273.11 10080.33 4.25 3.89 -54.2 -0.430    19.15 20.84 02a57609o0061c   0x0000           0   29.246243
57609.274446 19.169763      NaN    -13.0    26 c    0    1.13 210.91067 54.31166  1328.26 10156.12 4.24 4.00 -55.2 -0.430    19.15 20.86 02a57609o0086c  0x80000           0   27.337570
57609.275582 18.136622      NaN     76.0    42 c    0    0.85 210.91067 54.31166 10507.58 10202.12 5.08 4.03  81.4 -0.384    19.23 20.97 02a57609o0088c 0x400100           0   42.840900
57609.283416 19.169763      NaN    -31.0    26 c    0    1.30 210.91067 54.31166  1340.15 10033.26 4.35 3.86 -54.9 -0.413    19.11 20.83 02a57609o0102c  0x80000           0   27.337570
57609.293767 18.550302      NaN     48.0    30 c    0    0.81 210.91067 54.31166  1303.91 10097.53 4.49 3.94 -54.1 -0.404    19.06 20.79 02a57609o0120c   0x0000           0   31.166372
57746.613969 19.454622      NaN      9.0    17 c    0    1.21 210.91067 54.31166  9615.67  2378.64 4.06 3.82  81.9 -0.422    19.61 21.65 02a57746o0819c  0x80000           0   18.982696
57746.625461 19.510313      NaN    -25.0    19 c    0    1.13 210.91067 54.31166  9626.05  2418.27 4.08 3.83  80.9 -0.420    19.61 21.63 02a57746o0841c  0x80000           0   20.792853
57746.627011 19.631075      NaN    -19.0    17 c    0    1.16 210.91067 54.31166   418.46  2309.33 4.23 4.16 -88.4 -0.369    19.54 21.57 02a57746o0844c   0x0000           0   18.982696
57746.636855 19.510313      NaN    -12.0    19 c    0    0.96 210.91067 54.31166  9570.52  2345.38 4.24 4.02  81.1 -0.403    19.60 21.66 02a57746o0863c   0x0000           0   20.792853
