sigma_kern  peak_appmag  peak_flux sigma_sim  pct_detec_5.51  pct_detec_11.62  pct_detec_16.96  pct_detec_24.12  pct_detec_38.60  pct_detec_52.47  pct_detec_72.13  pct_detec_99.48
         5        17.11     522.27        20      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        17.11     522.27        40      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        17.11     522.27        80      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        17.11     522.27       120      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        16.74     733.27         2       88.638952              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        16.74     733.27         5       99.205899              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        16.74     733.27        20      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        16.74     733.27        40      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        16.74     733.27        80      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        16.74     733.27       120      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        16.37    1029.51         2       89.818607              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        16.37    1029.51         5       99.444119              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        16.37    1029.51        20      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        16.37    1029.51        40      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        16.37    1029.51        80      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        16.37    1029.51       120      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        16.00    1445.44         2       90.735462              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        16.00    1445.44         5       99.392009              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        16.00    1445.44        20      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        16.00    1445.44        40      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        16.00    1445.44        80      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        16.00    1445.44       120      100.000000              NaN              NaN              NaN              NaN              NaN              NaN              NaN
        15        23.00       2.29         2             NaN         0.086655              NaN              NaN              NaN              NaN              NaN              NaN
        15        23.00       2.29         5             NaN         0.256630              NaN              NaN              NaN              NaN              NaN              NaN
        15        23.00       2.29        20             NaN         2.477039              NaN              NaN              NaN              NaN              NaN              NaN
        15        23.00       2.29        40             NaN         3.506271              NaN              NaN              NaN              NaN              NaN              NaN
        15        23.00       2.29        80             NaN         6.938544              NaN              NaN              NaN              NaN              NaN              NaN
        15        23.00       2.29       120             NaN         8.275261              NaN              NaN              NaN              NaN              NaN              NaN
        15        22.63       3.22         2             NaN         0.200000              NaN              NaN              NaN              NaN              NaN              NaN
        15        22.63       3.22         5             NaN         0.260718              NaN              NaN              NaN              NaN              NaN              NaN
        15        22.63       3.22        20             NaN         2.982456              NaN              NaN              NaN              NaN              NaN              NaN
