 sigma_kern  peak_appmag  peak_flux  sigma_sim  pct_detec_7.65  pct_detec_14.32  pct_detec_16.31  pct_detec_18.35  pct_detec_18.95  pct_detec_26.65  pct_detec_36.67  pct_detec_47.32
         15        21.16      12.50          2             NaN         2.172164              NaN              NaN              NaN              NaN              NaN              NaN
         15        21.16      12.50          5             NaN         3.637771              NaN              NaN              NaN              NaN              NaN              NaN
         15        21.16      12.50         20             NaN        16.666667              NaN              NaN              NaN              NaN              NaN              NaN
         15        21.16      12.50         40             NaN        24.735250              NaN              NaN              NaN              NaN              NaN              NaN
         15        21.16      12.50         80             NaN        30.868902              NaN              NaN              NaN              NaN              NaN              NaN
         15        21.16      12.50        120             NaN        34.019832              NaN              NaN              NaN              NaN              NaN              NaN
         15        20.79      17.55          2             NaN         2.516654              NaN              NaN              NaN              NaN              NaN              NaN
         15        20.79      17.55          5             NaN         5.995388              NaN              NaN              NaN              NaN              NaN              NaN
         15        20.79      17.55         20             NaN        29.556260              NaN              NaN              NaN              NaN              NaN              NaN
         15        20.79      17.55         40             NaN        33.460657              NaN              NaN              NaN              NaN              NaN              NaN
         15        20.79      17.55         80             NaN        40.970149              NaN              NaN              NaN              NaN              NaN              NaN
         15        20.79      17.55        120             NaN        43.034056              NaN              NaN              NaN              NaN              NaN              NaN
         15        20.42      24.64          2             NaN         2.097378              NaN              NaN              NaN              NaN              NaN              NaN
         15        20.42      24.64          5             NaN        10.502959              NaN              NaN              NaN              NaN              NaN              NaN
         15        20.42      24.64         20             NaN        32.618683              NaN              NaN              NaN              NaN              NaN              NaN
         15        20.42      24.64         40             NaN        39.579968              NaN              NaN              NaN              NaN              NaN              NaN
         15        20.42      24.64         80             NaN        43.720191              NaN              NaN              NaN              NaN              NaN              NaN
         15        20.42      24.64        120             NaN        44.825019              NaN              NaN              NaN              NaN              NaN              NaN
         15        20.05      34.59          2             NaN         3.894081              NaN              NaN              NaN              NaN              NaN              NaN
         15        20.05      34.59          5             NaN        17.505635              NaN              NaN              NaN              NaN              NaN              NaN
         15        20.05      34.59         20             NaN        39.950980              NaN              NaN              NaN              NaN              NaN              NaN
         15        20.05      34.59         40             NaN        42.101167              NaN              NaN              NaN              NaN              NaN              NaN
         15        20.05      34.59         80             NaN        47.469325              NaN              NaN              NaN              NaN              NaN              NaN
         15        20.05      34.59        120             NaN        46.207430              NaN              NaN              NaN              NaN              NaN              NaN
         15        19.68      48.56          2             NaN         8.756841              NaN              NaN              NaN              NaN              NaN              NaN
         15        19.68      48.56          5             NaN        27.824750              NaN              NaN              NaN              NaN              NaN              NaN
         15        19.68      48.56         20             NaN        45.990923              NaN              NaN              NaN              NaN              NaN              NaN
         15        19.68      48.56         40             NaN        49.845679              NaN              NaN              NaN              NaN              NaN              NaN
         15        19.68      48.56         80             NaN        59.465829              NaN              NaN              NaN              NaN              NaN              NaN
         15        19.68      48.56        120             NaN        57.584906              NaN              NaN              NaN              NaN              NaN              NaN
         15        19.32      68.18          2             NaN        13.639733              NaN              NaN              NaN              NaN              NaN              NaN
         15        19.32      68.18          5             NaN        36.113236              NaN              NaN              NaN              NaN              NaN              NaN
         15        19.32      68.18         20             NaN        51.620370              NaN              NaN              NaN              NaN              NaN              NaN
         15        19.32      68.18         40             NaN        59.939531              NaN              NaN              NaN              NaN              NaN              NaN
         15        19.32      68.18         80             NaN        70.505837              NaN              NaN              NaN              NaN              NaN              NaN
         15        19.32      68.18        120             NaN        74.902572              NaN              NaN              NaN              NaN              NaN              NaN
         15        18.95      95.73          2             NaN        21.762871              NaN              NaN              NaN              NaN              NaN              NaN
         15        18.95      95.73          5             NaN        42.388060              NaN              NaN              NaN              NaN              NaN              NaN
         15        18.95      95.73         20             NaN        64.246251              NaN              NaN              NaN              NaN              NaN              NaN
         15        18.95      95.73         40             NaN        85.884219              NaN              NaN              NaN              NaN              NaN              NaN
         15        18.95      95.73         80             NaN        96.310530              NaN              NaN              NaN              NaN              NaN              NaN
         15        18.95      95.73        120             NaN        97.511312              NaN              NaN              NaN              NaN              NaN              NaN
         15        18.58     134.41          2             NaN        30.798193              NaN              NaN              NaN              NaN              NaN              NaN
         15        18.58     134.41          5             NaN        46.932515              NaN              NaN              NaN              NaN              NaN              NaN
         15        18.58     134.41         20             NaN        87.394958              NaN              NaN              NaN              NaN              NaN              NaN
         15        18.58     134.41         40             NaN        99.679230              NaN              NaN              NaN              NaN              NaN              NaN
         15        18.58     134.41         80             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        18.58     134.41        120             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        18.21     188.71          2             NaN        40.181956              NaN              NaN              NaN              NaN              NaN              NaN
         15        18.21     188.71          5             NaN        59.694656              NaN              NaN              NaN              NaN              NaN              NaN
         15        18.21     188.71         20             NaN        99.305556              NaN              NaN              NaN              NaN              NaN              NaN
         15        18.21     188.71         40             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        18.21     188.71         80             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        18.21     188.71        120             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        17.84     264.95          2             NaN        47.987851              NaN              NaN              NaN              NaN              NaN              NaN
         15        17.84     264.95          5             NaN        70.689655              NaN              NaN              NaN              NaN              NaN              NaN
         15        17.84     264.95         20             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        17.84     264.95         40             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        17.84     264.95         80             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        17.84     264.95        120             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        17.47     371.99          2             NaN        54.966887              NaN              NaN              NaN              NaN              NaN              NaN
         15        17.47     371.99          5             NaN        77.192982              NaN              NaN              NaN              NaN              NaN              NaN
         15        17.47     371.99         20             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        17.47     371.99         40             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        17.47     371.99         80             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        17.47     371.99        120             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        17.11     522.27          2             NaN        58.602151              NaN              NaN              NaN              NaN              NaN              NaN
         15        17.11     522.27          5             NaN        82.758621              NaN              NaN              NaN              NaN              NaN              NaN
         15        17.11     522.27         20             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        17.11     522.27         40             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        17.11     522.27         80             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        17.11     522.27        120             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        16.74     733.27          2             NaN        61.809448              NaN              NaN              NaN              NaN              NaN              NaN
         15        16.74     733.27          5             NaN        85.256410              NaN              NaN              NaN              NaN              NaN              NaN
         15        16.74     733.27         20             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        16.74     733.27         40             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        16.74     733.27         80             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        16.74     733.27        120             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        16.37    1029.51          2             NaN        65.015974              NaN              NaN              NaN              NaN              NaN              NaN
         15        16.37    1029.51          5             NaN        88.826816              NaN              NaN              NaN              NaN              NaN              NaN
         15        16.37    1029.51         20             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        16.37    1029.51         40             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        16.37    1029.51         80             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        16.37    1029.51        120             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        16.00    1445.44          2             NaN        65.914397              NaN              NaN              NaN              NaN              NaN              NaN
         15        16.00    1445.44          5             NaN        92.952522              NaN              NaN              NaN              NaN              NaN              NaN
         15        16.00    1445.44         20             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        16.00    1445.44         40             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        16.00    1445.44         80             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        16.00    1445.44        120             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         25        23.00       2.29          2             NaN              NaN         1.879699              NaN              NaN              NaN              NaN              NaN
         25        23.00       2.29          5             NaN              NaN         2.836879              NaN              NaN              NaN              NaN              NaN
         25        23.00       2.29         20             NaN              NaN         5.396825              NaN              NaN              NaN              NaN              NaN
         25        23.00       2.29         40             NaN              NaN         7.531693              NaN              NaN              NaN              NaN              NaN
         25        23.00       2.29         80             NaN              NaN        10.814928              NaN              NaN              NaN              NaN              NaN
         25        23.00       2.29        120             NaN              NaN        12.548412              NaN              NaN              NaN              NaN              NaN
         25        22.63       3.22          2             NaN              NaN         2.064220              NaN              NaN              NaN              NaN              NaN
