sigma_kern  peak_appmag  peak_flux sigma_sim
        40        19.68      48.56        40
        40        19.68      48.56        80
        40        19.68      48.56       110
        40        19.68      48.56       150
        40        19.68      48.56       200
        40        19.68      48.56       250
        40        19.32      68.18         5
        40        19.32      68.18        20
        40        19.32      68.18        40
        40        19.32      68.18        80
        40        19.32      68.18       110
        40        19.32      68.18       150
        40        19.32      68.18       200
        40        19.32      68.18       250
        40        18.95      95.73         5
        40        18.95      95.73        20
        40        18.95      95.73        40
        40        18.95      95.73        80
        40        18.95      95.73       110
        40        18.95      95.73       150
        40        18.95      95.73       200
        40        18.95      95.73       250
        40        18.58     134.41         5
        40        18.58     134.41        20
        40        18.58     134.41        40
        40        18.58     134.41        80
        40        18.58     134.41       110
        40        18.58     134.41       150
        40        18.58     134.41       200
        40        18.58     134.41       250
        40        18.21     188.71         5
        40        18.21     188.71        20
        40        18.21     188.71        40
        40        18.21     188.71        80
        40        18.21     188.71       110
        40        18.21     188.71       150
        40        18.21     188.71       200
        40        18.21     188.71       250
        40        17.84     264.95         5
        40        17.84     264.95        20
        40        17.84     264.95        40
        40        17.84     264.95        80
        40        17.84     264.95       110
        40        17.84     264.95       150
        40        17.84     264.95       200
        40        17.84     264.95       250
        40        17.47     371.99         5
        40        17.47     371.99        20
        40        17.47     371.99        40
        40        17.47     371.99        80
        40        17.47     371.99       110
        40        17.47     371.99       150
        40        17.47     371.99       200
        40        17.47     371.99       250
        40        17.11     522.27         5
        40        17.11     522.27        20
        40        17.11     522.27        40
        40        17.11     522.27        80
        40        17.11     522.27       110
        40        17.11     522.27       150
        40        17.11     522.27       200
        40        17.11     522.27       250
        40        16.74     733.27         5
        40        16.74     733.27        20
        40        16.74     733.27        40
        40        16.74     733.27        80
        40        16.74     733.27       110
        40        16.74     733.27       150
        40        16.74     733.27       200
        40        16.74     733.27       250
        40        16.37    1029.51         5
        40        16.37    1029.51        20
        40        16.37    1029.51        40
        40        16.37    1029.51        80
        40        16.37    1029.51       110
        40        16.37    1029.51       150
        40        16.37    1029.51       200
        40        16.37    1029.51       250
        40        16.00    1445.44         5
        40        16.00    1445.44        20
        40        16.00    1445.44        40
        40        16.00    1445.44        80
        40        16.00    1445.44       110
        40        16.00    1445.44       150
        40        16.00    1445.44       200
        40        16.00    1445.44       250
        80        23.00       2.29         5
        80        23.00       2.29        20
        80        23.00       2.29        40
        80        23.00       2.29        80
        80        23.00       2.29       110
        80        23.00       2.29       150
        80        23.00       2.29       200
        80        23.00       2.29       250
        80        22.63       3.22         5
        80        22.63       3.22        20
        80        22.63       3.22        40
        80        22.63       3.22        80
        80        22.63       3.22       110
        80        22.63       3.22       150
        80        22.63       3.22       200
        80        22.63       3.22       250
        80        22.26       4.52         5
        80        22.26       4.52        20
        80        22.26       4.52        40
        80        22.26       4.52        80
        80        22.26       4.52       110
        80        22.26       4.52       150
        80        22.26       4.52       200
        80        22.26       4.52       250
        80        21.89       6.34         5
