 sigma_kern  peak_appmag  peak_flux  sigma_sim  pct_detec_6.06  pct_detec_9.68  pct_detec_12.27  pct_detec_16.27  pct_detec_21.76  pct_detec_28.31  pct_detec_36.81  pct_detec_47.14
         15        20.05      34.59          5             NaN       59.166432              NaN              NaN              NaN              NaN              NaN              NaN
         15        20.05      34.59         20             NaN       98.474145              NaN              NaN              NaN              NaN              NaN              NaN
         15        20.05      34.59         40             NaN      100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        20.05      34.59         80             NaN      100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        20.05      34.59        120             NaN      100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        19.68      48.56          2             NaN       31.830239              NaN              NaN              NaN              NaN              NaN              NaN
         15        19.68      48.56          5             NaN       75.454545              NaN              NaN              NaN              NaN              NaN              NaN
         15        19.68      48.56         20             NaN       99.742194              NaN              NaN              NaN              NaN              NaN              NaN
         15        19.68      48.56         40             NaN      100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        19.68      48.56         80             NaN      100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        19.68      48.56        120             NaN      100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        19.32      68.18          2             NaN       47.149956              NaN              NaN              NaN              NaN              NaN              NaN
         15        19.32      68.18          5             NaN       83.882050              NaN              NaN              NaN              NaN              NaN              NaN
         15        19.32      68.18         20             NaN      100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        19.32      68.18         40             NaN      100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        19.32      68.18         80             NaN      100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        19.32      68.18        120             NaN      100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        18.95      95.73          2             NaN       62.817617              NaN              NaN              NaN              NaN              NaN              NaN
         15        18.95      95.73          5             NaN       89.674843              NaN              NaN              NaN              NaN              NaN              NaN
         15        18.95      95.73         20             NaN      100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        18.95      95.73         40             NaN      100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        18.95      95.73         80             NaN      100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        18.95      95.73        120             NaN      100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        18.58     134.41          2             NaN       71.507087              NaN              NaN              NaN              NaN              NaN              NaN
         15        18.58     134.41          5             NaN       93.741150              NaN              NaN              NaN              NaN              NaN              NaN
         15        18.58     134.41         20             NaN      100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        18.58     134.41         40             NaN      100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        18.58     134.41         80             NaN      100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        18.58     134.41        120             NaN      100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        18.21     188.71          2             NaN       77.267442              NaN              NaN              NaN              NaN              NaN              NaN
         15        18.21     188.71          5             NaN       96.192967              NaN              NaN              NaN              NaN              NaN              NaN
         15        18.21     188.71         20             NaN      100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        18.21     188.71         40             NaN      100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        18.21     188.71         80             NaN      100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        18.21     188.71        120             NaN      100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        17.84     264.95          2             NaN       81.019830              NaN              NaN              NaN              NaN              NaN              NaN
         15        17.84     264.95          5             NaN       98.287671              NaN              NaN              NaN              NaN              NaN              NaN
         15        17.84     264.95         20             NaN      100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        17.84     264.95         40             NaN      100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        17.84     264.95         80             NaN      100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        17.84     264.95        120             NaN      100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        17.47     371.99          2             NaN       84.828164              NaN              NaN              NaN              NaN              NaN              NaN
         15        17.47     371.99          5             NaN       98.632868              NaN              NaN              NaN              NaN              NaN              NaN
         15        17.47     371.99         20             NaN      100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        17.47     371.99         40             NaN      100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        17.47     371.99         80             NaN      100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        17.47     371.99        120             NaN      100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        17.11     522.27          2             NaN       86.618076              NaN              NaN              NaN              NaN              NaN              NaN
         15        17.11     522.27          5             NaN       99.078212              NaN              NaN              NaN              NaN              NaN              NaN
         15        17.11     522.27         20             NaN      100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        17.11     522.27         40             NaN      100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        17.11     522.27         80             NaN      100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        17.11     522.27        120             NaN      100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        16.74     733.27          2             NaN       88.667992              NaN              NaN              NaN              NaN              NaN              NaN
         15        16.74     733.27          5             NaN       99.513034              NaN              NaN              NaN              NaN              NaN              NaN
         15        16.74     733.27         20             NaN      100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        16.74     733.27         40             NaN      100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        16.74     733.27         80             NaN      100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        16.74     733.27        120             NaN      100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        16.37    1029.51          2             NaN       88.561525              NaN              NaN              NaN              NaN              NaN              NaN
         15        16.37    1029.51          5             NaN       99.618768              NaN              NaN              NaN              NaN              NaN              NaN
         15        16.37    1029.51         20             NaN      100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        16.37    1029.51         40             NaN      100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        16.37    1029.51         80             NaN      100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        16.37    1029.51        120             NaN      100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        16.00    1445.44          2             NaN       90.162532              NaN              NaN              NaN              NaN              NaN              NaN
         15        16.00    1445.44          5             NaN       99.770049              NaN              NaN              NaN              NaN              NaN              NaN
         15        16.00    1445.44         20             NaN      100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        16.00    1445.44         40             NaN      100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        16.00    1445.44         80             NaN      100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         15        16.00    1445.44        120             NaN      100.000000              NaN              NaN              NaN              NaN              NaN              NaN
         25        23.00       2.29          2             NaN             NaN         0.844119              NaN              NaN              NaN              NaN              NaN
         25        23.00       2.29          5             NaN             NaN         1.594203              NaN              NaN              NaN              NaN              NaN
         25        23.00       2.29         20             NaN             NaN         7.365685              NaN              NaN              NaN              NaN              NaN
         25        23.00       2.29         40             NaN             NaN        12.807018              NaN              NaN              NaN              NaN              NaN
         25        23.00       2.29         80             NaN             NaN        19.653656              NaN              NaN              NaN              NaN              NaN
         25        23.00       2.29        120             NaN             NaN        21.905305              NaN              NaN              NaN              NaN              NaN
         25        22.63       3.22          2             NaN             NaN         0.993861              NaN              NaN              NaN              NaN              NaN
         25        22.63       3.22          5             NaN             NaN         2.417088              NaN              NaN              NaN              NaN              NaN
